Tanımlayıcı;Seviye;Sınıflar;Standart;Açıklama;Kavram;Alt_Kavram;Uygulama;Alt Uygulama-1;Alt Uygulama-2;Alt Uygulama-3
3A-IC-28;3A;9-10;Fikri mülkiyet yasalarının inovasyon üzerindeki faydalı ve zararlı etkilerini açıklayın.;Yasalar mahremiyet, veri, mülkiyet, bilgi ve kimlik gibi bilişimin birçok yönünü düzenler. Bu yasaların, bilişimdeki ilerlemeleri hızlandırmak veya geciktirmek ve insanların haklarını korumak veya ihlal etmek gibi faydalı ve zararlı etkileri olabilir. Yasalardaki ve etikteki uluslararası farklılıkların bilişim üzerinde etkileri vardır. Örneğin, bazı dosya paylaşım web sitelerinin engellenmesini zorunlu kılan yasalar çevrimiçi korsanlığı azaltabilir, ancak bilgiye erişim hakkını kısıtlayabilir. Güvenlik duvarları, zararlı virüsleri ve kötü amaçlı yazılımları engellemek için kullanılabilir, ancak medya sansürü için de kullanılabilir. Öğrenciler fikri mülkiyet yasalarının farkında olmalı ve bunların yenilikçilerin çıkarlarını korumak için nasıl kullanıldığını ve patent trollerinin (patent trolls) finansal kazanç için yasaları nasıl kötüye kullandığını açıklayabilmelidir.;Bilişimin Etkileri;Güvenlik Hukuk ve Etik;Bilişim Hakkında İletişim Kurmak;P7.3 – Fikri mülkiyet haklarına uyarak ve uygun kaynak göstererek fikirleri sorumlu biçimde ifade etme;;
3A-IC-29;3A;9-10;Kullanıcılar için belirgin olmayabilecek otomatikleştirilmiş süreçler aracılığıyla veri toplanması ve üretilmesi ile ilgili gizlilik endişelerini açıklayın.;İnsanlar veri toplama cihazlarıyla aktif olarak ilgilenmeseler veya fiziksel olarak onlara yakın olmasalar bile, veriler milyonlarca insandan toplanabilir ve bir araya getirilebilir. Bu otomatik ve belirgin olmayan veri toplama süreci, kullanıcı çevrimiçi olmadığında bile bir hesabı tarayan (mining) sosyal medya siteleri gibi gizlilik endişeleri yaratabilir. Diğer örnekler arasında, güvenlik amacıyla müşterileri izlemek veya satın alma alışkanlıkları hakkında bilgi edinmek için bir mağazada kullanılan gözetleme videoları veya sürücülerin haberi olmadan yol verimliliğini artırmak için sinyalleri gerçek zamanlı olarak değiştirmek amacıyla karayolu trafiğinin izlenmesi yer alır. Veri toplama yöntemleri ve cihazları, gereken depolama miktarına, toplanan ayrıntı düzeyine ve örnekleme oranlarına (sampling rates) göre farklılık gösterebilir.;Bilişimin Etkileri;Güvenlik Hukuk ve Etik;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
3A-IC-30;3A;9-10;Güvenlik, hukuk veya etik bağlamında gizliliğin sosyal ve ekonomik sonuçlarını değerlendirin.;Yasalar mahremiyet, veri, mülkiyet, bilgi ve kimlik gibi bilişimin birçok yönünü düzenler. Yasalar ve etikteki uluslararası farklılıkların bilişim için etkileri vardır. Öğrenciler, bir bireyin gizlilik hakkı ile bir topluluğun emniyeti, güvenliği veya refahı çeliştiğinde etik bir ikilem sunan vaka çalışmalarını veya güncel olayları inceleyebilirler.;Bilişimin Etkileri;Güvenlik Hukuk ve Etik;Bilişim Hakkında İletişim Kurmak;P7.3 – Fikri mülkiyet haklarına uyarak ve uygun kaynak göstererek fikirleri sorumlu biçimde ifade etme;;
3B-CS-01;3B;11-12;İşletim sistemi yazılımının rollerini sınıflandırın.;Rollerin örnekleri arasında bellek yönetimi, veri depolama/alma, süreç yönetimi ve erişim kontrolü sayılabilir.;Bilişim Sistemleri;Donanım ve Yazılım;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
3B-CS-02;3B;11-12;Bilişim sistemlerinin donanım bileşenleri aracılığıyla mantık, giriş ve çıkışı nasıl uyguladığını örneklerle açıklayın.;Bileşen örnekleri mantık kapılarını (logic gates) ve IO pinlerini içerebilir.;Bilişim Sistemleri;Sorun Giderme;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
3B-NI-03;3B;11-12;Ağ işlevselliğini etkileyen sorunları (ör. bant genişliği, yük, gecikme, topoloji) açıklayın.;Bu sorunların ağ işlevselliğini nasıl etkilediğini keşfetmek için ücretsiz çevrimiçi ağ simülatörlerinin kullanılması önerilir.;Ağlar ve İnternet;Ağ İletişimi ve Organizasyon;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
3B-NI-04;3B;11-12;Yazılım geliştiricilerin cihazları ve bilgileri yetkisiz erişimden nasıl koruduklarını karşılaştırın.;Göz önünde bulundurulması gereken güvenlik endişelerine örnekler: şifreleme ve kimlik doğrulama stratejileri, güvenli kodlama ve anahtarların korunması.;Ağlar ve İnternet;Siber Güvenlik;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
3B-DA-05;3B;11-12;Karmaşık sistemleri temsil eden verilerdeki kalıpları belirlemek için veri analizi araçlarını ve tekniklerini kullanın.;Örneğin sosyal medya etkileşimlerini, film incelemelerini veya alışveriş modellerini temsil eden bir veri kümesindeki eğilimleri belirleyin.;Veri ve Analiz;Toplama Görselleştirme ve Dönüştürme;Soyutlamalar Geliştirmek ve Kullanmak;P4.1 – İlişkili süreçlerden veya karmaşık olgulardan ortak özellikleri çıkarma;;
3B-DA-06;3B;11-12;Bir iddiayı destekleyen veya bilgiyi ileten veri kümeleri oluşturmak için veri toplama araçlarını ve tekniklerini seçin.,;Veri ve Analiz;Toplama Görselleştirme ve Dönüştürme;Bilişim Hakkında İletişim Kurmak;Bilişim Hakkında İletişim Kurma;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
3B-DA-07;3B;11-12;Modellerin ve simülasyonların hipotezleri test etme ve geliştirilmesini destekleme yeteneğini değerlendirin.,;Veri ve Analiz;Çıkarım ve Modeller;Soyutlamalar Geliştirmek ve Kullanmak;Soyutlama Geliştirme ve Kullanma;P4.4 – Olguları, süreçleri ve sistemleri modelleyerek olası sonuçları anlama ve değerlendirme;;
3B-AP-08;3B;11-12;Yapay zekanın birçok yazılımı ve fiziksel sistemi nasıl yönlendirdiğini açıklayın.;Örnekler arasında dijital reklam teslimi, sürücüsüz arabalar ve kredi kartı sahtekarlığı tespiti yer alır.;Algoritmalar ve Programlama;Algoritmalar;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
3B-AP-09;3B;11-12;İnsan bir rakibe karşı oyun oynamak veya bir sorunu çözmek için bir yapay zeka algoritması uygulayın.;Oyunların karmaşık olması gerekmez. Basit tahmin oyunları, Tic-Tac-Toe veya basit robot komutları yeterli olacaktır.;Algoritmalar ve Programlama;Algoritmalar;Bilişimsel Eserler Yaratmak;P5.3 – Mevcut bir dijital ürünü iyileştirme veya özelleştirme;;
3B-AP-10;3B;11-12;Bilişimsel sorunları çözmek için klasik algoritmaları kullanın ve uyarlayın.;Örnekler arasında sıralama ve arama (sorting and searching) yer alabilir.;Algoritmalar ve Programlama;Algoritmalar;Soyutlamalar Geliştirmek ve Kullanmak;P4.2 – Mevcut teknolojik işlevleri değerlendirip yeni tasarımlara dahil etme;;
3B-AP-11;3B;11-12;Algoritmaları verimlilik, doğruluk ve açıklık açısından değerlendirin.;Örnekler arasında sıralama ve arama yer alabilir.;Algoritmalar ve Programlama;Algoritmalar;Soyutlamalar Geliştirmek ve Kullanmak;P4.2 – Mevcut teknolojik işlevleri değerlendirip yeni tasarımlara dahil etme;;
3B-AP-12;3B;11-12;Temel veri yapılarını ve kullanımlarını karşılaştırın.;Örnekler arasında stringler (metin dizileri), listeler, diziler (arrays), yığınlar (stacks) ve kuyruklar (queues) yer alabilir.;Algoritmalar ve Programlama;Değişkenler;Soyutlamalar Geliştirmek ve Kullanmak;P4.2 – Mevcut teknolojik işlevleri değerlendirip yeni tasarımlara dahil etme;;
3B-AP-13;3B;11-12;Özyinelemeli (recursive) bir algoritmanın yürütme akışını açıklayın.,;Algoritmalar ve Programlama;Kontrol;Bilişimsel Problemleri Tanıma ve Tanımlama;Hesaplamalı Problemleri Tanıma ve Tanımlama;P3.2 – Karmaşık problemleri yönetilebilir alt problemlere ayırma;;
3B-AP-14;3B;11-12;Prosedürler, modüller ve/veya nesneler gibi öğrenci tarafından oluşturulan bileşenleri kullanarak sorunlara çözümler üretin.;Nesne yönelimli programlama (OOP) bu seviyede isteğe bağlıdır. Sorunlar atanabilir veya öğrenci tarafından seçilebilir.;Algoritmalar ve Programlama;Modülerlik;Bilişimsel Eserler Yaratmak;P5.2 – Pratik amaç, kişisel ifade veya toplumsal sorun için dijital ürün oluşturma;;
3B-AP-15;3B;11-12;Büyük ölçekli bilişimsel bir sorunu analiz edin ve bir çözüme uygulanabilecek genellenebilir kalıpları belirleyin.;Öğrenciler birden fazla disiplini veya sosyal sistemi kapsayan karmaşık, gerçek dünya sorunlarıyla karşılaştıklarında, karmaşık sorunları, zaten var olan programlar veya prosedürlerle potansiyel olarak çözülebilecek yönetilebilir alt sorunlara ayırmalıdır. Örneğin öğrenciler, bir uygulama programlama arayüzü (API) aracılığıyla çevrimiçi bir veri tabanına bağlanarak bir topluluk sorununu çözecek bir uygulama oluşturabilirler.;Algoritmalar ve Programlama;Modülerlik;Soyutlamalar Geliştirmek ve Kullanmak;P4.1 – İlişkili süreçlerden veya karmaşık olgulardan ortak özellikleri çıkarma;;
3B-AP-16;3B;11-12;Kütüphaneleri ve API'leri kullanarak programlama çözümleri oluşturup kodun yeniden kullanımını gösterin.;Kütüphaneler ve API'ler öğrenci tarafından oluşturulabilir veya örneğin ortak grafik kütüphaneleri veya harita API'leri olabilir.;Algoritmalar ve Programlama;Modülerlik;Bilişimsel Eserler Yaratmak;P5.3 – Mevcut bir dijital ürünü iyileştirme veya özelleştirme;;
3B-AP-17;3B;11-12;Bir yazılım yaşam döngüsü süreci kullanarak geniş kitleler için programlar planlayın ve geliştirin.;Süreçler çevik (agile), sarmal (spiral) veya şelale (waterfall) modellerini içerebilir.;Algoritmalar ve Programlama;Program Geliştirme;Bilişimsel Eserler Yaratmak;P5.1 – Dijital ürün geliştirmeyi yinelemeli bir süreçle planlama;;
3B-AP-18;3B;11-12;Bilgisayar programlarının ele geçirilmesine yol açabilecek güvenlik sorunlarını açıklayın.;Örneğin yaygın sorunlar arasında sınır kontrolünün (bounds checking) olmaması, zayıf girdi doğrulaması ve döngüsel referanslar yer alır.;Algoritmalar ve Programlama;Program Geliştirme;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
3B-AP-19;3B;11-12;Birden fazla bilişim platformu için programlar geliştirin.;Örnek platformlar şunları içerebilir: masaüstü bilgisayar, web veya mobil.;Algoritmalar ve Programlama;Program Geliştirme;Bilişimsel Eserler Yaratmak;P5.2 – Pratik amaç, kişisel ifade veya toplumsal sorun için dijital ürün oluşturma;;
3B-AP-20;3B;11-12;Bir grup yazılım projesinde sürüm kontrol sistemleri, entegre geliştirme ortamları (IDE'ler) ve ortak çalışma araçları ile uygulamalarını (kod dokümantasyonu) kullanın.;Grup yazılım projeleri atanabilir veya öğrenci tarafından seçilebilir.;Algoritmalar ve Programlama;Program Geliştirme;Bilişim Etrafında İşbirliği Yapmak;P2.4 – Projede işbirliği için uygun teknolojik araçları değerlendirme ve seçme;;
3B-AP-21;3B;11-12;Bir programın tasarım özelliklerine göre performans gösterdiğini doğrulamak için bir dizi test senaryosu geliştirin ve kullanın.;Bu seviyede, öğrencilerin kendi test senaryolarını seçmeleri beklenmektedir.;Algoritmalar ve Programlama;Program Geliştirme;Bilişimsel Eserleri Test Etme ve İyileştirme;P6.1 – Tüm senaryoları ve test durumlarını dikkate alarak sistematik test yapma;;
3B-AP-22;3B;11-12;Mevcut bir programı ek işlevler eklemek üzere değiştirin ve amaçlanan ve istenmeyen sonuçları (ör. diğer işlevlerin bozulması) tartışın.;Örneğin bir metodun (method) veya işlevin imzasında (function signature) yapılan değişiklikler, o metodun bir sistemdeki diğer yerlerde çağrılmasını bozabilir.;Algoritmalar ve Programlama;Program Geliştirme;Bilişimsel Eserler Yaratmak;P5.3 – Mevcut bir dijital ürünü iyileştirme veya özelleştirme;;
3B-AP-23;3B;11-12;Kod incelemesi gibi bir süreç aracılığıyla bir programın temel niteliklerini değerlendirin.;Nitelik örnekleri arasında doğruluk, kullanılabilirlik, okunabilirlik, verimlilik, taşınabilirlik ve ölçeklenebilirlik yer alabilir.;Algoritmalar ve Programlama;Program Geliştirme;Bilişimsel Eserleri Test Etme ve İyileştirme;P6.3 – Performans, güvenilirlik, kullanılabilirlik ve erişilebilirliği artırmak için ürünü iyileştirme;;
3B-AP-24;3B;11-12;Birden çok programlama dilini karşılaştırın ve özelliklerinin onları farklı türdeki sorunları çözmeye nasıl uygun hale getirdiğini tartışın.;Özelliklere örnek olarak bloklara karşı metin, girintiye karşı süslü parantezler ve yüksek seviyeli dillere karşı düşük seviyeli diller verilebilir.;Algoritmalar ve Programlama;Program Geliştirme;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
3B-IC-25;3B;11-12;Toplum üzerindeki faydalı etkilerini en üst düzeye çıkarmak ve zararlı etkilerini en aza indirmek için bilişimsel eserleri değerlendirin.,;Bilişimin Etkileri;Kültür;Bilişimsel Eserleri Test Etme ve İyileştirme, Kapsayıcı Bir Bilişim Kültürünü Teşvik Etmek;Kapsayıcı Bir Bilişim Kültürünü Teşvik Etmek, Bilişimsel Eserleri Test Etme ve İyileştirme;P6.1 – Tüm senaryoları ve test durumlarını dikkate alarak sistematik test yapma;P1.2 – Farklı kullanıcı ihtiyaçlarını dikkate alarak erişilebilir ve kullanılabilir ürün tasarlama;
3B-IC-26;3B;11-12;Küresel bir toplumda bilişim kaynaklarının dağılımı üzerindeki eşitlik, erişim ve etkinin etkisini değerlendirin.,;Bilişimin Etkileri;Kültür;Kapsayıcı Bir Bilişim Kültürünü Teşvik Etmek;Kapsayıcı Bilişim Kültürünü Teşvik Etmek;P1.2 – Farklı kullanıcı ihtiyaçlarını dikkate alarak erişilebilir ve kullanılabilir ürün tasarlama;;
3B-IC-27;3B;11-12;Kültürümüzün bazı yönlerinde devrim yaratan bilişimsel yeniliklerin nasıl evrimleşebileceğini tahmin edin.;Dikkate alınacak alanlar eğitim, sağlık hizmetleri, sanat/eğlence ve enerjiyi içerebilir.;Bilişimin Etkileri;Kültür;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
3B-IC-28;3B;11-12;Yazılım geliştirilmesini ve kullanılmasını etkileyen yasa ve düzenlemeleri tartışın.,;Bilişimin Etkileri;Güvenlik Hukuk ve Etik;Bilişimsel Problemleri Tanıma ve Tanımlama, Bilişim Hakkında İletişim Kurmak;"Hesaplamalı Problemleri Tanıma ve Tanımlama,
Bilişim Hakkında İletişim Kurma


";P3.3 – Bir problemin bilgisayar/teknoloji ile çözülmesinin uygun ve uygulanabilir olup olmadığını değerlendirme;P7.3 – Fikri mülkiyet haklarına uyarak ve uygun kaynak göstererek fikirleri sorumlu biçimde ifade etme;
